Product_Name,Product_Price,Product_Url,Product_Reviews,Product_Rating
"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)","4,499",www.amazon.in/sspa/click?ie=UTF8&spc=MTozODU3NzczMTkzNzcxNTc6MTY4NTE3MjY3MTpzcF9hdGY6MjAxMTc3OTU4NzM4OTg6OjA6Og&url=%2FMOKOBARA-Backpack-Leather-Resistant-College%2Fdp%2FB0BR7N3KF4%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685172671%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DA2ZJIE4OXD710M,168,4.3 
MOKOBARA The Transit Backpack Laptop Bag for Men and Women,"5,999",www.amazon.in/sspa/click?ie=UTF8&spc=MTozODU3NzczMTkzNzcxNTc6MTY4NTE3MjY3MTpzcF9hdGY6MjAxMTc3OTU4NzE2OTg6OjA6Og&url=%2FMokobara-Transit-Backpack-Laptop-Sunray%2Fdp%2FB09V7R98XC%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685172671%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,592,4.5 
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),598,www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1685172671&sprefix=ba%2Caps%2C283&sr=8-3,"10,948",4.3 
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"1,199",www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1685172671&sprefix=ba%2Caps%2C283&sr=8-4,"54,228",4.0 
Skybags Brat Black 46 Cms Casual Backpack,669,www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1685172671&sprefix=ba%2Caps%2C283&sr=8-5,"4,558",4.1 
Half Moon Large 37L Laptop Bag Backpack for menà¤‚ Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,749,www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1685172671&sprefix=ba%2Caps%2C283&sr=8-6,"2,770",3.9 
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1685172671&sprefix=ba%2Caps%2C283&sr=8-7,197,4.3 
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",699,www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1685172671&sprefix=ba%2Caps%2C283&sr=8-8,"4,038",4.0 
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499,www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1685172671&sprefix=ba%2Caps%2C283&sr=8-9,806,3.9 
"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1685172671&sprefix=ba%2Caps%2C283&sr=8-10,207,4.2 
